WARNING;pas de lieu
WARNING;pas de lieu
WARNING;pas de lieu
WARNING;pas de lieu
WARNING;pas de lieu
WARNING;Artefact:FRB.FOBJ3.SCAL.1117;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1117-1;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1136;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1134;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1134-1;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1131;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1125;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1125-1;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1125-2;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1135;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1041;dimensions sont vides 
WARNING;Artefact:FRB.FOBJ3.SCAL.1115;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1116;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1124-1;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1124-2;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1124-3;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1124-4;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1124-5;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1128;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1118;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2206;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1132;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1127;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1126;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1052;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1113;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1114;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1108;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1129-1;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1129-2;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1507;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1133;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1140;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1140;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2049;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.2049;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1110;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1111;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2203;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1198;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1284;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1279;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1279;dimensions sont vides 
WARNING;Artefact:FRB.FOBJ3.SCAL.1294;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1294;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2001;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.2001;dimensions sont vides 
WARNING;Artefact:FRB.FOBJ3.SCAL.1277;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2045;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.2045;dimensions sont vides 
WARNING;Artefact:FRB.FOBJ3.SCAL.2026;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.2026;dimensions sont vides 
WARNING;Artefact:FRB.FOBJ3.SCAL.2027;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.2027;dimensions sont vides 
WARNING;Artefact:FRB.FOBJ3.SCAL.1245;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2188;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1282;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1282;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2043;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2024;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1280;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2025;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2112;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1238;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1240;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1239;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1006;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2202;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1276;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1276;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1311-01A;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1311-01A;dimensions sont vides 
WARNING;artefact:FRB.FOBJ3.SCAL.1311-01A;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1319;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1319;dimensions sont vides 
WARNING;artefact:FRB.FOBJ3.SCAL.1319;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1289;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1037;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1249;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1250;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1248;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1247;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1293;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1226;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1225;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1313;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1316;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1244;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1224;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1268;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1296;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1267;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1314;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1314;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2039;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1310;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1310;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1236;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1253;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1253;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1272;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1272;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1273;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1273;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1274;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1274;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1275;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1275;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2048;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1321;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1321;dimensions sont vides 
WARNING;artefact:FRB.FOBJ3.SCAL.1321;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1317;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1317;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1262;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2053;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2054;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2052;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.2052;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1266;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1266;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1035;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1035;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1261;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1263;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1265;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1265;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1034;l'année de production est vide
